num,node1,node2,tstart,tend
0,Harrow & Wealdstone,Kenton,852,854
1,Kenton,South Kenton,854,856
2,South Kenton,North Wembley,856,858
3,North Wembley,Wembley Central,858,860
4,Wembley Central,Stonebridge Park,860,862
5,Stonebridge Park,Harlesden,863,865
6,Harlesden,Willesden Junction,865,867
7,Willesden Junction,Kensal Green,867,869
8,Kensal Green,Queen's Park,870,873
9,Queen's Park,Kilburn Park,874,875
10,Kilburn Park,Maida Vale,876,877
11,Maida Vale,Warwick Avenue,878,879
12,Warwick Avenue,Paddington,879,880
13,Paddington,Edgware Road (Bakerloo),881,882
14,Edgware Road (Bakerloo),Marylebone,883,884
15,Marylebone,Baker Street,884,885
16,Baker Street,Regent's Park,886,887
17,Regent's Park,Oxford Circus,887,889
18,Oxford Circus,Piccadilly Circus,890,891
19,Piccadilly Circus,Charing Cross,892,893
20,Charing Cross,Embankment,893,893
21,Embankment,Waterloo,894,895
22,Waterloo,Lambeth North,896,897
23,Lambeth North,Elephant & Castle,898,901
24,Harrow & Wealdstone,Kenton,863,865
25,Kenton,South Kenton,865,867
26,South Kenton,North Wembley,867,869
27,North Wembley,Wembley Central,869,871
28,Wembley Central,Stonebridge Park,871,873
29,Stonebridge Park,Harlesden,874,876
30,Harlesden,Willesden Junction,876,878
31,Willesden Junction,Kensal Green,878,880
32,Kensal Green,Queen's Park,881,885
33,Queen's Park,Kilburn Park,887,888
34,Kilburn Park,Maida Vale,888,890
35,Maida Vale,Warwick Avenue,890,891
36,Warwick Avenue,Paddington,892,893
37,Paddington,Edgware Road (Bakerloo),894,895
38,Edgware Road (Bakerloo),Marylebone,895,896
39,Marylebone,Baker Street,897,898
40,Baker Street,Regent's Park,898,899
41,Regent's Park,Oxford Circus,900,901
42,Oxford Circus,Piccadilly Circus,902,904
43,Piccadilly Circus,Charing Cross,904,905
44,Charing Cross,Embankment,905,905
45,Embankment,Waterloo,906,907
46,Waterloo,Lambeth North,909,910
47,Lambeth North,Elephant & Castle,910,913
48,Harrow & Wealdstone,Kenton,869,871
49,Kenton,South Kenton,871,873
50,South Kenton,North Wembley,873,875
51,North Wembley,Wembley Central,875,877
52,Wembley Central,Stonebridge Park,877,879
53,Stonebridge Park,Harlesden,880,882
54,Harlesden,Willesden Junction,882,884
55,Willesden Junction,Kensal Green,884,886
56,Kensal Green,Queen's Park,887,890
57,Queen's Park,Kilburn Park,890,891
58,Kilburn Park,Maida Vale,892,893
59,Maida Vale,Warwick Avenue,894,895
60,Warwick Avenue,Paddington,895,896
61,Paddington,Edgware Road (Bakerloo),897,898
62,Edgware Road (Bakerloo),Marylebone,899,900
63,Marylebone,Baker Street,900,901
64,Baker Street,Regent's Park,902,903
65,Regent's Park,Oxford Circus,903,905
66,Oxford Circus,Piccadilly Circus,906,907
67,Piccadilly Circus,Charing Cross,908,909
68,Charing Cross,Embankment,909,910
69,Embankment,Waterloo,910,912
70,Waterloo,Lambeth North,912,913
71,Lambeth North,Elephant & Castle,914,917
72,Harrow & Wealdstone,Kenton,882,884
73,Kenton,South Kenton,884,886
74,South Kenton,North Wembley,886,888
75,North Wembley,Wembley Central,888,890
76,Wembley Central,Stonebridge Park,890,892
77,Stonebridge Park,Harlesden,893,895
78,Harlesden,Willesden Junction,895,897
79,Willesden Junction,Kensal Green,897,899
80,Kensal Green,Queen's Park,900,904
81,Queen's Park,Kilburn Park,906,907
82,Kilburn Park,Maida Vale,907,909
83,Maida Vale,Warwick Avenue,909,910
84,Warwick Avenue,Paddington,911,912
85,Paddington,Edgware Road (Bakerloo),913,914
86,Edgware Road (Bakerloo),Marylebone,914,915
87,Marylebone,Baker Street,916,917
88,Baker Street,Regent's Park,917,918
89,Regent's Park,Oxford Circus,919,920
90,Oxford Circus,Piccadilly Circus,921,923
91,Piccadilly Circus,Charing Cross,923,924
92,Charing Cross,Embankment,925,925
93,Embankment,Waterloo,926,927
94,Waterloo,Lambeth North,928,929
95,Lambeth North,Elephant & Castle,929,932
96,Harrow & Wealdstone,Kenton,893,895
97,Kenton,South Kenton,895,897
98,South Kenton,North Wembley,897,899
99,North Wembley,Wembley Central,899,901
100,Wembley Central,Stonebridge Park,901,903
101,Stonebridge Park,Harlesden,904,906
102,Harlesden,Willesden Junction,906,908
103,Willesden Junction,Kensal Green,908,910
104,Kensal Green,Queen's Park,911,914
105,Queen's Park,Kilburn Park,915,916
106,Kilburn Park,Maida Vale,917,918
107,Maida Vale,Warwick Avenue,919,920
108,Warwick Avenue,Paddington,920,922
109,Paddington,Edgware Road (Bakerloo),922,923
110,Edgware Road (Bakerloo),Marylebone,924,925
111,Marylebone,Baker Street,925,926
112,Baker Street,Regent's Park,927,928
113,Regent's Park,Oxford Circus,928,930
114,Oxford Circus,Piccadilly Circus,931,932
115,Piccadilly Circus,Charing Cross,933,934
116,Charing Cross,Embankment,935,935
117,Embankment,Waterloo,936,937
118,Waterloo,Lambeth North,937,938
119,Lambeth North,Elephant & Castle,939,942
120,Harrow & Wealdstone,Kenton,899,901
121,Kenton,South Kenton,901,903
122,South Kenton,North Wembley,903,905
123,North Wembley,Wembley Central,905,907
124,Wembley Central,Stonebridge Park,907,909
125,Stonebridge Park,Harlesden,910,912
126,Harlesden,Willesden Junction,912,914
127,Willesden Junction,Kensal Green,914,916
128,Kensal Green,Queen's Park,917,920
129,Queen's Park,Kilburn Park,921,922
130,Kilburn Park,Maida Vale,923,924
131,Maida Vale,Warwick Avenue,925,926
132,Warwick Avenue,Paddington,926,928
133,Paddington,Edgware Road (Bakerloo),929,930
134,Edgware Road (Bakerloo),Marylebone,930,931
135,Marylebone,Baker Street,932,933
136,Baker Street,Regent's Park,933,934
137,Regent's Park,Oxford Circus,935,936
138,Oxford Circus,Piccadilly Circus,937,939
139,Piccadilly Circus,Charing Cross,939,940
140,Charing Cross,Embankment,941,941
141,Embankment,Waterloo,942,943
142,Waterloo,Lambeth North,944,945
143,Lambeth North,Elephant & Castle,945,948
